round,x_type,slice,metric,group,client,value
1,gI,last_block,V_loo,benign,3,1.3397208022070117e-05
1,gI,last_block,norm,benign,3,0.5792871713638306
1,gI,last_block,cos_all,benign,3,0.5974082350730896
1,gI,last_block,cos_loo,benign,3,0.3633425831794739
1,gI,last_block,V_all,benign,4,2.11488145396288e-06
1,gI,last_block,V_loo,benign,4,2.610964884297573e-06
1,gI,last_block,norm,benign,4,0.19496920704841614
1,gI,last_block,cos_all,benign,4,0.4209904968738556
1,gI,last_block,cos_loo,benign,4,0.3374708890914917
1,gI,last_block,V_all,benign,5,2.2362828531186096e-06
1,gI,last_block,V_loo,benign,5,2.7608430173131637e-06
1,gI,last_block,norm,benign,5,0.16592124104499817
1,gI,last_block,cos_all,benign,5,0.300342321395874
1,gI,last_block,cos_loo,benign,5,0.22359365224838257
1,gI,last_block,V_all,benign,6,3.2132361411640886e-06
1,gI,last_block,V_loo,benign,6,3.96695804738556e-06
1,gI,last_block,norm,benign,6,0.325092613697052
1,gI,last_block,cos_all,benign,6,0.583297610282898
1,gI,last_block,cos_loo,benign,6,0.46236303448677063
1,gI,last_block,V_all,malicious,7,4.106554115423933e-06
1,gI,last_block,V_loo,malicious,7,5.069819053460378e-06
1,gI,last_block,norm,malicious,7,0.32909125089645386
1,gI,last_block,cos_all,malicious,7,0.4506142735481262
1,gI,last_block,cos_loo,malicious,7,0.30789893865585327
1,gI,last_block,V_all,malicious,8,7.352362899837317e-06
1,gI,last_block,V_loo,malicious,8,9.076991773326881e-06
1,gI,last_block,norm,malicious,8,0.45033174753189087
1,gI,last_block,cos_all,malicious,8,0.4595235288143158
1,gI,last_block,cos_loo,malicious,8,0.2590746283531189
1,gI,last_block,V_all,malicious,9,2.4052596927504055e-06
1,gI,last_block,V_loo,malicious,9,2.9694565455429256e-06
1,gI,last_block,norm,malicious,9,0.2749183475971222
1,gI,last_block,cos_all,malicious,9,0.5778300166130066
1,gI,last_block,cos_loo,malicious,9,0.4768267869949341
1,I,head,V_all,benign,0,0.00029960248502902687
1,I,head,V_loo,benign,0,0.00036987962084822357
1,I,head,norm,benign,0,1.279902458190918
1,I,head,cos_all,benign,0,0.7381260991096497
1,I,head,cos_loo,benign,0,0.6492080092430115
1,I,head,V_all,benign,1,0.0003145333903376013
1,I,head,V_loo,benign,1,0.00038831279380246997
1,I,head,norm,benign,1,0.9216992855072021
1,I,head,cos_all,benign,1,0.4561791718006134
1,I,head,cos_loo,benign,1,0.3562820255756378
1,I,head,V_all,benign,2,0.000475677486974746
1,I,head,V_loo,benign,2,0.0005872561596333981
1,I,head,norm,benign,2,1.5792851448059082
1,I,head,cos_all,benign,2,0.7601625323295593
1,I,head,cos_loo,benign,2,0.6528136730194092
1,I,head,V_all,benign,3,0.001088808523491025
1,I,head,V_loo,benign,3,0.0013442079070955515
1,I,head,norm,benign,3,2.0771141052246094
1,I,head,cos_all,benign,3,0.6525990962982178
1,I,head,cos_loo,benign,3,0.4569462835788727
1,I,head,V_all,benign,4,0.00017216632841154933
1,I,head,V_loo,benign,4,0.0002125510509358719
1,I,head,norm,benign,4,0.6944679021835327
1,I,head,cos_all,benign,4,0.6041998267173767
1,I,head,cos_loo,benign,4,0.5436604022979736
1,I,head,V_all,benign,5,0.00029813533183187246
1,I,head,V_loo,benign,5,0.00036806834395974874
1,I,head,norm,benign,5,0.9444450736045837
1,I,head,cos_all,benign,5,0.5019725561141968
1,I,head,cos_loo,benign,5,0.4042249917984009
1,I,head,V_all,benign,6,0.0008879922097548842
1,I,head,V_loo,benign,6,0.0010962866945192218
1,I,head,norm,benign,6,2.0140328407287598
1,I,head,cos_all,benign,6,0.7542555928230286
1,I,head,cos_loo,benign,6,0.6050036549568176
1,I,head,V_all,malicious,7,0.00018099522276315838
1,I,head,V_loo,malicious,7,0.00022345087199937552
1,I,head,norm,malicious,7,0.5967337489128113
1,I,head,cos_all,malicious,7,0.5449874997138977
1,I,head,cos_loo,malicious,7,0.48844438791275024
1,I,head,V_all,malicious,8,0.0007233285577967763
1,I,head,V_loo,malicious,8,0.0008929981850087643
1,I,head,norm,malicious,8,1.5509116649627686
1,I,head,cos_all,malicious,8,0.47760680317878723
1,I,head,cos_loo,malicious,8,0.30460283160209656
1,I,head,V_all,malicious,9,0.00010965731053147465
1,I,head,V_loo,malicious,9,0.0001353793777525425
1,I,head,norm,malicious,9,0.6543713212013245
1,I,head,cos_all,malicious,9,0.7444605231285095
1,I,head,cos_loo,malicious,9,0.7038151025772095
1,I,last_block,V_all,benign,0,1.7175303810290643e-06
1,I,last_block,V_loo,benign,0,2.120408225891879e-06
1,I,last_block,norm,benign,0,0.31905847787857056
1,I,last_block,cos_all,benign,0,0.8024460077285767
1,I,last_block,cos_loo,benign,0,0.7412835955619812
1,I,last_block,V_all,benign,1,1.2600872878465452e-06
1,I,last_block,V_loo,benign,1,1.5556634025415406e-06
1,I,last_block,norm,benign,1,0.18386901915073395
1,I,last_block,cos_all,benign,1,0.6830942630767822
1,I,last_block,cos_loo,benign,1,0.6350785493850708
1,I,last_block,V_all,benign,2,5.728874839405762e-06
1,I,last_block,V_loo,benign,2,7.0726855483371764e-06
1,I,last_block,norm,benign,2,0.5276060700416565
1,I,last_block,cos_all,benign,2,0.8655621409416199
1,I,last_block,cos_loo,benign,2,0.7820420861244202
1,I,last_block,V_all,benign,3,2.766549187072087e-06
1,I,last_block,V_loo,benign,3,3.4154927561758086e-06
1,I,last_block,norm,benign,3,0.3552932143211365
1,I,last_block,cos_all,benign,3,0.7307809591293335
1,I,last_block,cos_loo,benign,3,0.641671895980835
1,I,last_block,V_all,benign,4,1.0700233588067931e-06
1,I,last_block,V_loo,benign,4,1.3210164979682304e-06
1,I,last_block,norm,benign,4,0.18669383227825165
1,I,last_block,cos_all,benign,4,0.7351434826850891
1,I,last_block,cos_loo,benign,4,0.6927731037139893
1,I,last_block,V_all,benign,5,1.3235131746114348e-06
1,I,last_block,V_loo,benign,5,1.6339668036380317e-06
1,I,last_block,norm,benign,5,0.1772780418395996
1,I,last_block,cos_all,benign,5,0.6608196496963501
1,I,last_block,cos_loo,benign,5,0.6122206449508667
1,I,last_block,V_all,benign,6,2.5562681003066245e-06
1,I,last_block,V_loo,benign,6,3.155886588501744e-06
